cashDelta,workingCapitalDelta,netIncomeDelta,totalRevenueDelta,cashFlowDelta,EBITDADelta,debtDelta,EBITDAtoSalesDelta,OpIncometoSalesDelta,treasuryStockDelta,dividends,avgCash,avgDebt,sharesOutstanding,ticker,fiscalDateEnding1,fiscalDateEnding2,reportedDate,reportedEPS,surprisePercentage,offset_date,next_unadjusted_open,next_adjusted_close,AnnualizedVolatility,day,marketCap,dividendYield,adjusted_close_change,mc_change,avgDividendYield,volAdjusted_close_change,volAdjusted_mc_change
158.16006110498176,-47.679181051246715,53.85343211639739,47.40298281283544,59.15574322930278,62.12259704647376,-0.2399576305711725,9.985967687186163,11.71178320097303,0.0,5572000000,64591250000.0,38023750000.0,7433000000,MSFT,2024-03-31,2024-03-31,2024-04-25,2.94,4.2553,2024-04-26,405.25,401.53818748083,54.31366384415488,3098,3012223250000.0,0.0018497964916777002,43.790638233808465,39.96012914156462,1.0088605050991497,0.8062545432298455,0.7357288445173644
-9.629477292202228,-91.42609000643023,31.55246294767465,17.38460920034261,-4.9667669086520965,29.86275295531958,-7.627928772258668,10.630136131117714,13.301809609288684,0.0,3710000000,108244000000.0,32957000000.0,15337686000,AAPL,2024-03-31,2024-03-31,2024-05-02,1.53,2.0,2024-05-03,182.354,181.462168576105,53.901940668989454,3103,2796888392844.0,0.001326474095102346,26.723391570963468,16.75392798099697,0.6749812255378291,0.49577791150547224,0.3108223520908541
256.0408163265306,131.96881091617934,699.6433264501595,314.2812629829664,370.54663326948577,614.7786083956297,99.83180026281208,72.5346213461309,109.06335433885197,-100.0,98000000,9707500000.0,6542250000.0,2462000000,NVDA,2024-04-28,2024-04-30,2024-05-22,6.12,9.8743,2024-05-23,1044.49,106.465291215634,120.88425675300276,3117,2571534380000.0,3.8109542988105024e-05,412.35181220585997,415.9831711674987,0.07547656945742848,3.411129151816679,3.44116911780711
71.16817344717897,-79.01338413201059,40.073597740028994,40.63211197767721,-8.54583866456393,30.462576368740123,77.15670530954634,-7.231304049925185,21.311596552792103,326.619488296135,0,67610250000.0,61343250000.0,10403000000,AMZN,2024-03-31,2024-03-31,2024-04-30,0.31,-62.1951,2024-05-01,180.85,184.72,76.75713459942172,3101,1881382550000.0,0.0,10.893656873221502,10.886860875482697,0.0,0.14192370429241602,0.1418351653210973
15.626992677939269,-21.162277333309927,60.4384479099741,61.40846221005928,53.064608974534686,71.27089246294544,-11.086792969017168,6.110231221985789,15.157982262941673,0.0,0,3616250000.0,26293000000.0,12381000000,GOOGL,2024-03-31,2024-03-31,2024-04-25,1.89,25.1656,2024-04-26,169.058,165.960341875464,66.5403344188941,3098,2093107098000.0,0.0,22.369317449504347,15.133951985694225,0.0,0.3361768113259225,0.22744027540379996
100.49031555103151,-20.278339287454813,35.61647895672792,50.60367509760651,77.4407322196659,48.25365557996818,1924.1808483616967,-1.560399848221029,-7.173733126197764,0.0,1273000000,23195750000.0,34961000000.0,2545000000,META,2024-03-31,2024-03-31,2024-04-24,4.71,9.0278,2024-04-25,441.46,443.29,88.39231459248296,3097,1123515700000.0,0.0011330504771762426,24.547732267834533,11.989173036055325,0.037768349239208084,0.27771342317493874,0.1356359214183866
-17.95418347213528,-49.48407384379932,0.7533853098071399,40.989813855667514,-26.82926829268293,94.11228149092227,35.35927357662119,37.67823091789928,6.219591882498051,-37.95066413662239,1169200000,21961375000.0,2588525000.0,900800000,LLY,2024-03-31,2024-03-31,2024-04-30,2.58,4.878,2024-05-01,777.34,754.663446569921,80.30635212922134,3101,700227872000.0,0.001669742160734784,195.2625084838553,193.13698274266366,1.3641709651007166,2.431470279831133,2.4050025635815957
-0.4022054264215448,126.64990386037569,1090.9886264216973,163.61992209237619,13.758723828514457,172.03407880724174,-32.287651202977536,3.1917757383742376,21.74893471905235,0.0,0,3292750000.0,14857750000.0,3189000000,TSLA,2024-03-31,2024-03-31,2024-04-23,0.45,-11.7647,2024-04-24,158.96,170.18,128.2892336689256,3096,506923440000.0,0.0,-21.088750811462482,-20.375567421544893,0.0,-0.1643844164342423,-0.15882523294299086
-5.2711746309529595,-19.594621553684714,72.48171074845244,57.04704282163126,76.90117252931323,59.225464929999305,-2.177740920399423,1.3871143761950615,2.708275622052096,0.0,1060000000,20582250000.0,14615000000.0,1828000000,V,2024-03-31,2024-03-31,2024-04-23,2.51,2.8689,2024-04-24,272.97,274.649644742474,39.679188799482326,3096,498989160000.00006,0.0021242946439958732,13.296845242097124,3.4547848400575143,0.9080387280718518,0.33510879744271893,0.0870679301816419
-36.9043972263221,-76.23733945912082,54.628571428571426,16.788637603293306,-27.109509634967882,21.266590353618167,0.9712103336292981,3.8342366536850427,-2.4323559267521158,0.0,1671000000,39055750000.0,11328500000.0,8053000000,WMT,2024-04-30,2024-04-30,2024-05-16,0.6,15.3846,2024-05-17,64.42,64.18,45.96018057369361,3113,518774260000.0,0.003221054182603431,33.70595540286218,24.952953047561753,1.8087662916304241,0.7333729977152129,0.5429254788838702
75.32734876812633,-30.228841728458196,-9.014985488361074,44.33773524623834,40.295609446822,6.1968134957825685,44.26872187820199,-26.424774980283456,-7.607806435744124,0.0,1729000000,18943250000.0,33642250000.0,920000000,UNH,2024-03-31,2024-03-31,2024-04-16,7.16,8.3207,2024-04-17,486.13,493.18,58.23609961081264,3091,447239600000.0,0.0038659367372656625,25.29702634104908,13.669152222152075,1.572895402906578,0.4343873732977853,0.23471956936508395
